1000
op_type,chunk_size,block_id,exec_time
malloc,30949376,171,1365.000000
malloc,22650880,172,1326.000000
malloc,7200768,173,1833.000000
malloc,18784256,174,1989.000000
malloc,46448640,175,1404.000000
malloc,19464192,176,1248.000000
malloc,18046976,177,1209.000000
malloc,29556736,178,1404.000000
malloc,28237824,179,1092.000000
free,9519104,170,78.000000
free,30949376,171,741.000000
free,22650880,172,117.000000
free,7200768,173,78.000000
free,18784256,174,117.000000
free,46448640,175,117.000000
free,19464192,176,117.000000
free,18046976,177,117.000000
free,29556736,178,117.000000
free,28237824,179,156.000000
malloc,7249920,180,1326.000000
malloc,37961728,181,2652.000000
malloc,17309696,182,1326.000000
malloc,5185536,183,1365.000000
malloc,14622720,184,1326.000000
malloc,6201344,185,1443.000000
malloc,8216576,186,1287.000000
malloc,34013184,187,1248.000000
malloc,36126720,188,1365.000000
malloc,38772736,189,1560.000000
free,7249920,180,117.000000
free,37961728,181,117.000000
free,17309696,182,117.000000
free,5185536,183,78.000000
free,14622720,184,117.000000
free,6201344,185,117.000000
free,8216576,186,117.000000
free,34013184,187,155.000000
free,36126720,188,116.000000
free,38772736,189,195.000000
malloc,50585600,190,1053.000000
malloc,20963328,191,1014.000000
malloc,20881408,192,1287.000000
malloc,17768448,193,1871.000000
malloc,48275456,194,1326.000000
malloc,3923968,195,2028.000000
malloc,6438912,196,1247.000000
malloc,14426112,197,1365.000000
malloc,33644544,198,1715.000000
malloc,12484608,199,1560.000000
free,50585600,190,117.000000
free,20963328,191,117.000000
free,20881408,192,117.000000
free,17768448,193,78.000000
free,48275456,194,117.000000
free,3923968,195,117.000000
free,6438912,196,117.000000
free,14426112,197,78.000000
free,33644544,198,117.000000
free,12484608,199,156.000000
malloc,43368448,200,2847.000000
malloc,43155456,201,1326.000000
malloc,43425792,202,1248.000000
malloc,13582336,203,1911.000000
malloc,50356224,204,1481.000000
malloc,9773056,205,1248.000000
malloc,7593984,206,1325.000000
malloc,17391616,207,1287.000000
malloc,27820032,208,1560.000000
malloc,37150720,209,2808.000000
free,43368448,200,117.000000
free,43155456,201,117.000000
free,43425792,202,117.000000
free,13582336,203,117.000000
free,50356224,204,116.000000
free,9773056,205,117.000000
free,7593984,206,117.000000
free,17391616,207,117.000000
free,27820032,208,116.000000
free,37150720,209,156.000000
malloc,45621248,210,1248.000000
malloc,35069952,211,1599.000000
malloc,22675456,212,2301.000000
malloc,10502144,213,2457.000000
malloc,40247296,214,1560.000000
malloc,37289984,215,1326.000000
